N,Pulsar,D,Age,RA,Dec
382,J1808-2024,13,218,272.1639042,-20.4110694
189,J1846-0258,5.8,728,281.6039167,-2.9750278
384,J1714-3810,13.2,1030,258.5239167,-38.17525
30,J0534+2200,2,1260,83.6332208,22.0144611
104,J1550-5418,4,1410,237.7255161,-54.3066983
127,J1513-5908,4.4,1560,228.48175,-59.1358333
297,J1119-6127,8.4,1610,169.8095833,-61.46375
425,J0540-6919,49.7,1670,85.046675,-69.3317139
314,J1050-5953,9,2680,162.5296667,-59.8892778
153,J1124-5916,5,2850,171.1625,-59.2719444
245,J1930+1852,7,2890,292.6255417,18.8705833
380,J1640-4631,12.75,3350,250.1813333,-46.5265
295,J1745-2900,8.3,3400,266.4173592,-29.0083044
319,J1622-4950,9.14,4030,245.6866667,-49.8484444
329,J1841-0456,9.6,4570,280.3305958,-4.9364333
109,J1833-1034,4.1,4850,278.389875,-10.56875
424,J0537-6910,49.7,4930,84.4475667,-69.1721889
393,J1747-2809,17.55,5310,266.845,-28.1541667
59,J0205+6449,3.2,5370,31.4080103,64.8281483
144,J1813-1749,4.7,5600,273.396525,-17.8326333
426,J0100-7211,59.7,6760,15.1792917,-72.1926667
108,J1357-6429,4.09,7310,209.260125,-64.4917222
250,J1614-5048,7.24,7420,243.5470417,-50.8009722
215,J1617-5055,6.46,8130,244.3720833,-50.9203333
258,J1734-3333,7.4,8130,263.6120833,-33.5555556
91,J1708-4008,3.8,8900,257.1952917,-40.1479
340,J2022+3842,10,8940,305.5903708,38.7041167
52,J2229+6114,3,10500,337.272,61.2359167
392,J1301-6305,15.84,11000,195.4406667,-63.09275
4,J0835-4510,0.28,11300,128.8358811,-45.1763542
80,J1809-1943,3.6,11300,272.4628622,-19.7310922
303,J1341-6220,8.55,12100,205.427625,-62.3390833
243,J1400-6325,7,12700,210.190375,-63.4285
381,J1746-2850,12.86,12700,266.5275,-28.845
271,J1420-6048,7.65,13000,215.0343208,-60.8045639
361,J1413-6141,11,13600,213.291125,-61.6869444
17,J0007+7303,1.4,13900,1.7570833,73.0520556
338,J1726-3530,9.97,14500,261.5312917,-35.4994444
139,J1801-2451,4.61,15500,270.2500667,-24.8576389
36,J0501+4516,2.2,15700,75.2781667,45.2760889
128,J1803-2137,4.4,15800,270.9642106,-21.6187086
177,J1702-4310,5.44,17000,255.61225,-43.1777778
26,J2021+3651,1.8,17200,305.27275,36.8513333
46,J1709-4429,2.6,17500,257.4280333,-44.4856222
398,J2004+3429,22.18,18500,301.1957083,34.48825
54,J1907+0602,3.01,19500,286.9780833,6.0380278
302,J1632-4818,8.54,19800,248.1655833,-48.3146111
50,J1048-5832,2.9,20300,162.0508333,-58.5349444
63,J1856+0113,3.3,20300,284.044375,1.2225833
9,J1740-3015,0.4,20600,265.1409167,-30.2620833
346,J1856+0245,10.29,20600,284.2120833,2.7630556
307,J1935+2025,8.64,20900,293.9247542,20.4278056
323,J1016-5857,9.31,21000,154.0881667,-58.9533611
112,J1826-1334,4.12,21400,276.5548958,-13.5796667
401,J1934+2352,23.98,21600,293.6924583,23.8821944
225,J1838-0655,6.6,22700,279.5130417,-6.9259444
155,J1811-1925,5,23300,272.8716667,-19.4244444
356,J1909+0749,10.84,24700,287.2841667,7.8255556
416,J1410-6132,30,24800,212.6,-61.5333333
41,J1747-2958,2.49,25500,266.816175,-29.9669444
120,J1730-3350,4.26,26000,262.6356625,-33.8442778
374,J1821-1419,11.93,29300,275.3929167,-14.3238889
150,J1841-0524,4.89,30200,280.4555,-5.4081944
95,J1524-5625,3.84,31800,231.20775,-56.4231667
236,J1646-4346,6.86,32500,251.71375,-43.7772222
412,J1112-6103,30,32700,168.0617083,-61.0586389
162,J1718-3718,5.08,33200,259.5416667,-37.3147222
207,J1837-0604,6.19,33800,279.4314583,-6.0802778
126,J0729-1448,4.37,35200,112.3185417,-14.8102222
266,J1551-5310,7.52,36800,237.921875,-53.1832222
273,J1907+0918,7.68,38000,286.8435042,9.3085444
149,J1015-5719,4.87,38600,153.9081667,-57.3202222
359,J1932+2220,10.9,39800,293.09475,22.3476389
315,J1815-1738,9.01,40400,273.8111333,-17.6341667
10,J2337+6151,0.7,40600,354.2740083,61.850425
187,J1637-4642,5.77,41200,249.307375,-46.7041667
121,J0940-5428,4.27,42200,145.2425833,-54.4779444
221,J0631+1036,6.54,43600,97.8646833,10.6173611
397,J1524-5706,21.59,49600,231.0892917,-57.1097222
324,J1412-6145,9.32,50600,213.0320417,-61.758
88,J1809-1917,3.71,51300,272.4297792,-19.2939167
194,J1737-3137,5.88,51400,264.267875,-31.6225
294,J1838-0453,8.28,52200,279.546625,-4.8897222
411,J1055-6028,30,53500,163.9132917,-60.4770833
168,J1702-4128,5.18,55100,255.7188333,-41.4800556
113,J1841-0345,4.15,55900,280.4111667,-3.8118333
105,J1801-2304,4,58300,270.3326208,-23.0789444
317,J1406-6121,9.11,61700,211.7085,-61.35775
135,J1938+2213,4.54,62000,294.5590833,22.2201889
29,J0248+6021,2,62400,42.0775708,60.3596444
263,J1541-5535,7.46,62500,235.4566667,-55.5836111
341,J1806-2125,10.02,62900,271.581625,-21.4277778
247,J1105-6107,7.07,63300,166.3590417,-61.1309444
354,J1850-0026,10.69,67500,282.5613083,-0.4365556
422,J0534-6703,49.7,67800,83.6507083,-67.0635556
78,J0146+6145,3.6,69100,26.5934167,61.7507778
325,J1636-4440,9.33,70100,249.068875,-44.6736111
169,J1857+0143,5.18,71000,284.3875333,1.7297222
107,J1601-5335,4.04,73300,240.4787917,-53.5953333
35,J2021+4026,2.15,76900,305.3749583,40.4458611
252,J1828-1101,7.26,77100,277.0785375,-11.0308056
262,J0901-4624,7.46,80000,135.4171667,-46.4134722
152,J1731-4744,4.98,80400,262.9254292,-47.7429333
289,J1928+1746,8.12,82600,292.1773042,17.7748944
332,J1855+0527,9.7,82600,283.8128042,5.4613056
269,J1847-0130,7.64,83300,281.8967083,-1.5127778
97,J1705-3950,3.86,83400,256.3743333,-39.8497222
334,J1814-1744,9.77,84600,273.6795833,-17.7466667
192,J1638-4608,5.85,85600,249.59575,-46.1365556
98,J1738-2955,3.91,85800,264.7176667,-29.9308333
18,J1918+1444,1.41,88100,289.5984917,14.7516667
146,J0614+2229,4.74,89300,93.5715,22.51
119,J1718-3825,4.24,89500,259.5565208,-38.4216833
48,J1028-5819,2.76,90000,157.1166667,-58.3181111
68,J1913+0446,3.41,91800,288.46175,4.7683333
89,J1558-5756,3.74,95400,239.6272083,-57.9405833
277,J2216+5759,7.82,96200,334.02175,57.99825
56,J1531-5610,3.1,97100,232.8662917,-56.1819444
290,J1909+0912,8.2,98700,287.3329583,9.2149167
